Country,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12
Greece,103.9141527,102.2604522,104.8774558,105.3762905,105.3256532,105.1637849,103.469042,101.7644942,104.3317325,104.1696795,102.8377657,103.6765062,102.701555,101.6072765,103.520103,103.9073226,103.2816788,103.832841,102.7875777,101.6925967,103.3228148,102.4366153,101.7104006,101.1748167,100,99.78662873,101.6764885,102.1133916,101.8898598,102.7738265,101.5647226,101.3513514,102.5604552,102.367405,101.6155253,101.5850437
Hungary,100.5397835,101.1726227,101.4472443,101.7320656,101.6104856,101.8545216,101.430254,101.3694263,101.8484493,101.5248641,100.7597025,101.0037712,101.380537,101.4617632,101.6854489,101.5739739,101.6450401,101.7465938,101.909177,101.676369,101.3225186,101.24142,100.8472879,100.1620746,100,100.5073052,101.1566558,101.5625,102.2828734,102.4655032,102.445211,101.8161526,101.2175325,101.4813312,101.461039,101.1160714
Iceland,98.3857316,100.3384889,100.6450844,100.6348967,100.5534521,101.4788853,100.8711666,100.6880789,100.9844608,100.5886025,100.9876012,101.4482644,99.9621372,101.2004418,101.6098701,102.0501386,101.7350749,102.9002952,103.2481387,103.0344587,101.4284662,101.632856,100.5032659,101.1396873,100,100.438686,101.5915119,101.7853499,102.1526219,102.9279739,103.8155478,104.2338298,102.3362579,102.0301979,101.061008,101.8771679
Ireland,100.0720722,100.8889871,101.2957975,101.1946029,101.0934083,101.1948059,101.1948059,101.2962035,101.1950085,100.9928207,100.8916255,100.9930241,100.3888784,101.0003842,101.5094588,101.5094588,101.5094588,101.7124777,101.6112712,101.9161051,101.7138906,101.41087,101.1078495,100.7042254,100,100.6079027,101.3171226,101.2158055,101.7223911,102.1276596,101.8237082,102.1276596,101.621074,101.3171226,101.0131712,100.9118541
Italy,99.54039964,99.33746305,101.7323914,102.0385069,102.0385069,102.2423801,100.4433939,100.4433939,102.3092155,102.3092155,102.0047237,102.3110442,100.3147312,99.90900932,102.2009782,102.7130072,102.6112104,102.7132096,100.6170216,100.5151825,102.3842665,102.6911125,102.4875622,102.4875622,100,100.2040816,102.3469388,102.755102,102.9591837,103.0612245,101.122449,100.9183673,102.6530612,103.0612245,102.6530612,102.6530612
Latvia,99.83836539,99.76769408,100.2550096,100.2853286,100.5487042,100.9341037,100.8533403,99.85300962,99.88333243,100.0858329,99.65321415,99.65321415,100.3246221,100.3145179,100.6185934,101.1366177,101.3391339,101.7347918,101.4928301,100.7106504,101.0859822,100.844005,100.612087,99.94943877,100,100.3638569,101.1623206,101.7283202,102.5469982,102.4358197,101.344249,100.9096422,100.6872852,100.7074995,100.6367495,100.3537497
Lithuania,101.090573,101.0300035,101.3542723,101.6988768,101.9317364,101.7301109,101.0478299,101.1489485,101.8712956,101.6897788,101.548543,101.3670262,101.3569249,101.3569249,101.7524542,102.036113,102.036113,102.0260114,101.5333749,101.4324471,101.8891215,101.9902521,101.9195798,101.2670857,100,99.8585287,100.6770412,101.414713,102.0109135,101.8290218,101.3237672,100.4446241,101.0610348,101.5561843,101.4046079,101.0307195
Luxembourg,99.57304522,101.4794971,101.5306512,101.6535077,101.1954256,101.6267436,100.5842624,102.0577964,102.4479962,101.9897298,101.8977459,102.0514224,101.1088479,102.3306445,102.3715891,102.6074683,102.6996399,102.8944186,101.891312,102.8206946,102.8002308,102.4839538,102.0965293,101.1434932,100,102.037056,102.4772239,102.6205343,103.1835398,103.4087419,102.0984748,102.9276282,102.6410073,102.4158051,102.5591156,102.0165831
Malta,97.97829117,98.00934938,99.10822623,102.0388458,103.1912353,104.0583885,104.1517237,104.0378741,103.2359219,102.54631,100.3756958,100.5730608,99.05170178,99.77241964,100.7462688,102.7129781,103.7293158,104.9576893,104.9058276,105.0825418,104.0549401,103.435934,101.1919621,101.1193264,100,100.4777235,101.4020147,104.2268148,105.1614913,106.2415619,106.2727178,106.6362031,105.7742237,105.1303354,102.5443971,102.399003
Netherlands,99.79181993,100.8237932,102.1904744,102.2722758,102.3131602,101.8149644,102.1738288,101.9495398,102.0313448,101.7765468,101.1772637,101.2590727,100.6295036,101.2360151,102.3622374,102.9584424,102.4904495,102.1238302,102.4725157,102.3500142,102.3295769,102.2070754,101.4663709,101.2318255,100,100.8178287,102.1059088,102.9544061,103.2202004,102.6374974,103.322429,102.8215089,102.6374974,102.6374974,101.8605602,101.7481088
