Country,Good type,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15
Belgium,Vegetables,100,96.53595407,94.63851318,97.84956699,89.24783497,88.10937044,92.05993967,82.20297752,84.62586358,82.12513379,88.08017904,90.33764717,94.78447018,96.15646589,92.26427946,103.6391943,98.01498492,95.56290746,97.07112971,95.66994259,97.2462781,100.3211054,99.9708086,96.96409458
Belgium,Fresh or chilled vegetables other than potatoes and other tubers ,100,95.37422518,92.29345915,97.10426496,82.78286613,81.080581,85.56758257,70.59857526,76.56582478,73.26302156,83.96706448,88.39855676,97.36330835,99.9074845,92.51549635,107.0404293,95.83680266,89.19419003,85.55833102,81.73744102,85.34554538,93.44065131,93.6441854,88.6113424
Belgium,Frozen vegetables other than potatoes and other tubers ,100,99.23739725,99.93067248,100.4456769,100.4654848,100.6140438,100.6734674,100.9507775,100.7626028,100.8418342,100.3070219,99.94057641,99.93067248,100.0990393,100.2376944,100.148559,99.30672477,100.287214,99.89105675,100.435773,100.3169258,96.67227889,95.64226998,95.51351887
Belgium,"Dried vegetables, other preserved or processed vegetables ",100,99.75512703,99.63269054,100.3673095,100.0408122,100.1632486,99.9489848,99.87756351,99.69390878,100.010203,99.72451791,100.2142639,100.4285277,100.4795429,100.6223855,101.2957861,101.499847,102.3466993,102.520151,103.0405061,103.1935517,103.264973,102.8568513,102.8058361
Belgium,Potatoes,100,95.86157322,95.13247073,97.07332101,95.24543027,94.22879441,102.4337646,94.85520641,87.77983159,83.78517149,82.51180941,80.98172109,77.59293489,77.68535634,78.0961183,94.63955638,97.34031629,102.9677552,120.2402957,122.8794414,120.8256315,115.0955022,112.8876566,112.0455946
Belgium,Crisps ,100,99.48192007,99.41848171,99.24931275,98.72065976,98.63607528,98.37174878,98.75237894,102.4846691,103.002749,104.4406851,103.5208289,105.3288222,104.6204272,105.6883062,105.5191372,105.7517446,104.9904842,106.0372172,107.2954113,106.893635,105.1913724,106.0583633,105.3816875
Belgium,Other tubers and products of tuber vegetables,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Belgium,"Sugar, jam, honey, chocolate and confectionery",100,100.1623047,100.0811524,100.8318117,101.0549807,101.1665652,101.2578616,101.0245486,100.7303713,100.5376344,100.5782106,100.7506594,101.8665044,101.6027592,102.0490972,102.2621221,101.5216068,101.2274295,101.4505985,101.2984378,100.8723879,101.0651248,100.9839724,101.0854129
Belgium,Sugar,100,99.94447529,99.88895058,99.81491764,99.75013881,99.60207292,99.48176939,99.30594114,98.81547289,98.68591523,99.15787525,99.85193411,100.3053859,98.667407,97.53840459,96.75180455,92.1710161,91.31038312,90.28317601,89.4040348,88.793263,88.55265593,88.27503239,88.44160651
Belgium,"Jams, marmalades and honey ",100,99.35403008,99.62398766,99.24797532,98.534516,98.26455843,98.1199383,97.63787119,97.60894717,97.08831469,97.0208253,97.03046664,97.03046664,96.23987659,96.40377941,96.27844196,96.3555727,96.25915927,96.34593135,96.30736599,96.45198612,96.37485538,96.50983417,96.41342075
